task_text,step_idx,rows,trajs,tasks,step_min,step_max,stages,exact_obs_groups,actions,valid_rate,reward_mean,episode_reward_mean,value_pred_mean,value_pred_std,value_target_mean,value_target_std,value_error_mae,clipped_rate,prompt_len_mean,response_len_mean
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",2,8,8,1,2,2,product_detail;search_results,2,click;no_action_tag,0.625,0.0,0.0,-0.0677947998046875,0.024914901302657035,-0.1715609384700656,0.08200965728956364,0.11285883095115423,1.0,1243.25,512.0
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",3,8,8,1,3,3,product_detail;search_results,2,click,0.75,0.0,0.0,-0.102081298828125,0.04823199815960947,-0.1454540528357029,0.08781096602447577,0.09568136185407639,1.0,1477.375,512.0
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",4,8,8,1,4,4,other;product_detail,2,click;no_action_tag;search,0.875,0.0,0.0,-0.098876953125,0.01875007266075951,-0.12989560514688492,0.10241654430663684,0.0906991995871067,0.625,1133.5,411.25
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",5,8,7,1,5,5,other;product_detail;search_results,4,click;search,0.875,0.0,0.0,-0.0842742919921875,0.04310427694495995,-0.13212772412225604,0.11788175470963325,0.09858899051323533,1.0,1121.5,512.0
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",6,7,7,1,6,6,product_detail;search_results,5,click,0.8571428571428571,0.0,0.0,-0.13616071428571427,0.03938710805772851,-0.14111800811120442,0.114926192430243,0.0800708777138165,0.8571428571428571,1162.2857142857142,497.0
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",7,7,7,1,7,7,other;product_detail;search_results,5,click;search,0.7142857142857143,0.0,0.0,-0.14202008928571427,0.04624380789488068,-0.13256185288940156,0.11234587352094128,0.07630535215139389,0.8571428571428571,1226.0,509.57142857142856
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",8,6,6,1,8,8,other;product_detail;search_results,4,click;search,0.8333333333333334,0.0,0.0,-0.12125651041666667,0.03866332502285488,-0.12842431664466858,0.09850810195223926,0.08102931827306747,1.0,1149.0,512.0
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",9,5,5,1,9,9,other;product_detail;search_results,5,click;no_action_tag;search,0.4,0.0,0.0,-0.1482421875,0.050838262391968786,-0.14038149416446685,0.09855052782016208,0.05316421091556549,0.8,1036.8,444.2
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",10,5,5,1,10,10,other;product_detail;search_results,5,click;no_action_tag;search,0.6,0.0,0.0,-0.139453125,0.04749347842771745,-0.07851865887641907,0.07009576595895425,0.06093446612358093,1.0,1048.2,512.0
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",11,5,5,1,11,11,product_detail;search_results,5,click,1.0,0.0,0.0,-0.09228515625,0.034633565676377605,-0.03479716181755066,0.04460578899494887,0.06985367834568024,0.8,1131.8,472.8
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",12,4,4,1,12,12,other;product_detail,4,click;malformed_action_tag,0.75,0.0,0.0,-0.06414794921875,0.05440899915065287,-0.043745494447648525,0.05196791224211637,0.05538518074899912,0.5,1082.0,362.0
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",13,4,4,1,13,13,other;product_detail,2,click;search,1.0,0.0,0.0,0.0115966796875,0.05183472107545418,-0.02321307361125946,0.038428208581002196,0.03480975329875946,0.5,849.5,332.75
"Find me officially licensed, machine wash men's t-shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: white, and fit type: men, and size: 3t, and price lower than 40.00 dollars.",14,5,3,1,14,14,search_results,3,click,0.8,0.0,0.0,-0.04111328125,0.05288691182252385,-0.019999998807907104,0.04472135688439504,0.0814257800579071,1.0,1104.8,512.0
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",0,8,8,1,0,0,other,1,no_action_tag;search,0.875,0.0,0.0,0.04638671875,0.0,-0.052902224473655224,0.050452001083309855,0.09928894322365522,0.875,220.0,492.75
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",1,8,8,1,1,1,other;search_results,7,click;search,1.0,0.0,0.0,0.05088043212890625,0.04881724577004723,-0.05290743941441178,0.05092017983785378,0.10378787154331803,0.75,859.875,437.75
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",2,10,8,1,2,2,product_detail;search_results,3,click,0.9,0.0,0.0,0.00101318359375,0.03906301074223936,-0.05986159220337868,0.05448468563921484,0.07080922946333885,0.9,1539.7,468.4
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",3,8,8,1,3,3,other;product_detail,3,click;search,1.0,0.0,0.0,0.0382080078125,0.05892444117219997,-0.06268983613699675,0.049375547804623894,0.1074026869609952,0.75,1844.625,467.25
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",4,10,8,1,4,4,other;product_detail;search_results,4,click;search,0.9,0.0,0.0,-0.03555908203125,0.035874462125868645,-0.06646640338003636,0.05563366212968577,0.053092142567038536,0.9,1736.6,507.2
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",5,7,7,1,5,5,other;product_detail;search_results,5,click;search,1.0,0.0,0.0,-0.07010323660714286,0.02328288837250452,-0.06837172274078641,0.053053171150320655,0.04655578200306211,1.0,1514.857142857143,512.0
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",6,7,7,1,6,6,other;product_detail;search_results,5,click;search,1.0,0.0,0.0,-0.09263392857142858,0.04464300246442121,-0.06967427049364362,0.06447341204781898,0.08314524803842817,1.0,1548.7142857142858,512.0
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",7,9,7,1,7,7,other;product_detail;search_results,4,click,1.0,0.0,0.0,-0.09754774305555555,0.023834400010858913,-0.05782693003614744,0.06926708617500177,0.06827999444471465,0.7777777777777778,1731.4444444444443,491.55555555555554
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",8,7,7,1,8,8,other;product_detail,2,click;search,1.0,0.0,0.0,-0.06080845424107143,0.048861196308300436,-0.0758630180997508,0.08218790843856712,0.034951596919979365,0.7142857142857143,1652.5714285714287,470.7142857142857
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",9,6,6,1,9,9,product_detail;search_results,3,click,0.6666666666666666,0.0,0.0,-0.06638590494791667,0.0382544611924322,-0.09614057218035062,0.0990842137530378,0.11305127665400505,1.0,1754.5,512.0
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",10,6,6,1,10,10,other;product_detail,3,click;search,0.6666666666666666,0.0,0.0,-0.11376953125,0.025633603024231812,-0.06081770360469818,0.08801839040331731,0.0883168230454127,1.0,1539.0,512.0
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",11,6,5,1,11,11,product_detail;search_results,4,click,1.0,0.0,0.0,-0.11700439453125,0.07552630415645624,-0.01853858431180318,0.04355737729727413,0.0991941640774409,1.0,1741.6666666666667,512.0
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",12,5,5,1,12,12,product_detail;search_results,3,click,0.8,0.0,0.0,-0.06943359375,0.12151651723857128,-0.02180769145488739,0.045244609085950814,0.09150871634483337,0.8,1656.2,442.2
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",13,4,3,1,13,13,product_detail,2,click,1.0,0.0,0.0,-0.029052734375,0.11117990006849218,0.0004986561834812164,0.006481138912282341,0.09205139055848122,1.0,2071.75,512.0
"Find me slip resistant, non slip men's loafers & slip-ons with rubber outsole, rubber sole with color: black2626, and size: 10.5, and price lower than 50.00 dollars.",14,2,2,1,14,14,product_detail,2,click,1.0,0.0,0.0,-0.01708984375,0.1021990269683682,0.0,0.0,0.072265625,1.0,1988.0,512.0
"Find me wash cold, machine wash men's shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: cranberry, and fit type: youth, and size: x-large, and price lower than 50.00 dollars.",0,10,8,1,0,0,other,1,search,1.0,0.0,10.0,7.96875,0.0,7.753077030181885,0.0,0.21567296981811523,0.1,227.0,196.1
"Find me wash cold, machine wash men's shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: cranberry, and fit type: youth, and size: x-large, and price lower than 50.00 dollars.",1,8,8,1,1,1,search_results,2,click,1.0,0.0,10.0,8.25,0.0,8.151259422302246,0.0,0.0987405776977539,0.0,925.625,105.375
"Find me wash cold, machine wash men's shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: cranberry, and fit type: youth, and size: x-large, and price lower than 50.00 dollars.",2,8,8,1,2,2,product_detail,1,click,1.0,0.0,10.0,8.625,0.0,8.57530403137207,0.0,0.04969596862792969,0.25,1246.875,269.125
"Find me wash cold, machine wash men's shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: cranberry, and fit type: youth, and size: x-large, and price lower than 50.00 dollars.",3,8,8,1,3,3,product_detail,1,click,1.0,0.0,10.0,9.125,0.0,9.015707015991211,0.0,0.10929298400878906,0.375,1448.5,317.125
"Find me wash cold, machine wash men's shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: cranberry, and fit type: youth, and size: x-large, and price lower than 50.00 dollars.",4,8,8,1,4,4,product_detail,1,click,1.0,0.0,10.0,9.5625,0.0,9.482187271118164,0.0,0.08031272888183594,0.125,1227.0,153.75
"Find me wash cold, machine wash men's shirts with polyester heathers, heathers cotton, cotton heather, needle sleeve, classic fit with color: cranberry, and fit type: youth, and size: x-large, and price lower than 50.00 dollars.",5,9,8,1,5,5,product_detail,1,click,1.0,10.0,10.0,9.8125,0.0,10.0,0.0,0.1875,0.0,1227.0,90.0
